Timestamp,Detected,X1,Y1,X2,Y2,Label,Score
22:44:29,True,13,143,626,480,person,0.7578125
22:44:29,False,588,57,621,116,book,0.33203125
22:44:30,True,220,278,643,476,person,0.6875
22:44:30,False,587,55,624,116,book,0.3125
22:44:30,True,208,255,639,476,person,0.54296875
22:44:30,False,587,57,623,117,book,0.3515625
22:44:30,True,171,210,640,483,person,0.7734375
22:44:30,True,148,195,640,476,person,0.70703125
22:44:30,True,122,197,642,473,person,0.73828125
22:44:30,True,122,195,642,476,person,0.7578125
22:44:30,False,1,254,79,434,suitcase,0.3125
22:44:30,True,117,190,647,471,person,0.7578125
22:44:30,False,587,56,622,117,book,0.33203125
22:44:30,False,2,257,78,437,suitcase,0.3125
22:44:30,True,148,185,640,477,person,0.66796875
22:44:31,True,77,154,637,479,person,0.70703125
22:44:31,True,72,128,642,478,person,0.4765625
22:44:31,False,554,66,587,116,book,0.3125
22:44:31,True,31,92,633,476,person,0.73828125
22:44:31,True,9,48,630,481,person,0.8515625
22:44:31,False,587,57,621,117,bottle,0.33203125
22:44:31,True,-1,28,643,485,person,0.8984375
22:44:31,False,555,66,587,116,bottle,0.3125
22:44:31,True,-1,19,643,476,person,0.8828125
22:44:31,True,3,15,635,481,person,0.8828125
22:44:31,True,9,15,630,481,person,0.87109375
22:44:31,False,439,364,632,478,chair,0.5
22:44:31,True,-3,34,550,480,person,0.80078125
22:44:31,False,440,364,637,478,chair,0.5234375
22:44:31,True,2,32,492,481,person,0.7890625
22:44:31,False,436,364,636,478,chair,0.54296875
22:44:32,True,2,36,492,477,person,0.7890625
22:44:32,False,438,364,638,478,chair,0.54296875
22:44:32,True,2,48,492,481,person,0.7578125
22:44:32,False,438,364,638,478,chair,0.56640625
22:44:32,True,2,48,492,481,person,0.7890625
22:44:32,False,434,364,638,478,chair,0.5234375
22:44:32,True,2,52,492,477,person,0.7734375
22:44:32,False,436,364,636,478,chair,0.5
22:44:32,True,-1,52,498,477,person,0.7578125
22:44:32,False,434,364,638,478,chair,0.5234375
22:44:32,True,-1,52,498,477,person,0.73828125
22:44:32,False,436,364,636,478,chair,0.5234375
22:44:32,True,-1,56,474,476,person,0.70703125
22:44:32,False,436,364,636,478,chair,0.5234375
22:44:32,True,2,56,492,473,person,0.72265625
22:44:32,False,436,364,636,478,chair,0.5234375
22:44:32,False,586,56,621,117,book,0.3515625
22:44:32,True,9,52,508,477,person,0.6875
22:44:32,False,434,364,638,478,chair,0.54296875
22:44:32,False,587,57,623,116,book,0.3125
22:44:32,True,2,56,492,473,person,0.72265625
22:44:32,False,434,364,638,478,chair,0.54296875
22:44:32,False,588,57,622,116,book,0.3125
22:44:32,True,1,70,435,475,person,0.6484375
22:44:32,False,436,364,636,478,chair,0.5234375
22:44:33,True,13,70,388,475,person,0.62890625
22:44:33,False,437,364,634,478,chair,0.54296875
22:44:33,True,4,77,414,482,person,0.6875
22:44:33,False,436,364,636,478,chair,0.54296875
22:44:33,True,2,70,398,475,person,0.70703125
22:44:33,False,436,365,636,477,chair,0.54296875
22:44:33,True,-6,74,444,472,person,0.6484375
22:44:33,False,437,364,634,478,chair,0.56640625
22:44:33,True,5,70,431,475,person,0.6875
22:44:33,False,436,364,636,478,chair,0.54296875
22:44:33,True,-2,70,440,475,person,0.66796875
22:44:33,False,437,364,634,478,chair,0.5859375
22:44:33,True,1,74,435,472,person,0.66796875
22:44:33,False,436,364,636,478,chair,0.5859375
22:44:33,True,0,70,418,475,person,0.66796875
22:44:33,False,437,364,634,478,chair,0.56640625
22:44:33,True,5,60,431,472,person,0.66796875
22:44:33,False,437,364,634,478,chair,0.5859375
22:44:33,True,-1,74,457,472,person,0.6484375
22:44:33,False,437,364,634,478,chair,0.56640625
22:44:33,True,-2,87,554,475,person,0.6875
22:44:33,False,436,365,636,477,chair,0.60546875
22:44:34,True,6,103,539,482,person,0.62890625
22:44:34,False,437,365,634,477,chair,0.56640625
22:44:34,True,-1,108,457,478,person,0.60546875
22:44:34,False,436,364,636,478,chair,0.5859375
22:44:34,True,2,111,452,481,person,0.6875
22:44:34,False,437,364,634,478,chair,0.5859375
22:44:34,False,146,96,280,206,chair,0.5
22:44:34,True,2,101,452,477,person,0.6484375
22:44:34,False,437,364,641,478,chair,0.5234375
22:44:34,True,-3,101,423,477,person,0.5859375
22:44:34,False,434,365,638,477,chair,0.54296875
22:44:34,True,-1,108,218,489,person,0.56640625
22:44:34,False,434,364,638,478,chair,0.5234375
22:44:34,False,436,364,636,478,chair,0.5234375
22:44:34,True,6,114,395,477,person,0.5234375
22:44:34,False,434,364,638,478,chair,0.56640625
22:44:34,True,-1,134,218,488,person,0.54296875
22:44:34,False,586,55,623,116,book,0.3515625
